product_id,product_name,category_id,category_name,subcategory_name,brand,sku,unit_price,cost_price,weight_kg,is_active,launch_date,gross_margin_pct
PROD-D975CBF7,AutoParts Smartphones Model-841,CAT-001,Electronics,Smartphones,Kidsworld,SKU-224732,722.9,270.37,22.86,False,2023-09-17,62.6
PROD-BBEC037D,AutoParts Educational Model-318,CAT-017,Toys,Educational,Kidsworld,SKU-130184,686.26,257.61,9.28,False,2018-07-31,62.46
PROD-5FB34979,GlowUp Furniture Model-182,CAT-008,Home & Garden,Furniture,Homeplus,SKU-411933,1707.16,767.0,10.13,True,2024-05-09,55.07
PROD-69E3831B,TrendSet Outdoor Model-993,CAT-011,Sports,Outdoor,Readmore,SKU-946377,696.5,320.93,4.45,True,2021-04-04,53.92
PROD-87E31FAA,KidsWorld Laptops Model-122,CAT-002,Electronics,Laptops,Gadgethub,SKU-552448,387.33,148.73,1.8,True,2023-06-22,61.6
PROD-8430FB2D,EcoLife Smartphones Model-938,CAT-001,Electronics,Smartphones,Trendset,SKU-734042,554.42,264.12,2.75,True,2024-03-29,52.36
PROD-44412F54,GadgetHub Organic Model-322,CAT-019,Food,Organic,Gadgethub,SKU-144326,837.1,411.06,24.12,True,2020-07-24,50.89
PROD-1549CBB7,GadgetHub Tablets Model-322,CAT-003,Electronics,Tablets,Quickfit,SKU-555227,898.13,471.37,23.08,True,2024-02-21,47.52
PROD-7ED9AAC4,EcoLife Tablets Model-779,CAT-003,Electronics,Tablets,Natureco,SKU-506963,922.49,346.1,1.88,True,2021-10-22,62.48
PROD-BCDF9463,ReadMore Women's Wear Model-488,CAT-006,Clothing,Women's Wear,Styleco,SKU-983812,537.8,272.94,15.65,True,2020-02-17,49.25
PROD-228A548F,NatureCo Laptops Model-571,CAT-002,Electronics,Laptops,Homeplus,SKU-524841,1910.0,729.57,11.97,True,2018-08-08,61.8
PROD-07175FEC,HomePlus Men's Wear Model-855,CAT-005,Clothing,Men's Wear,Kidsworld,SKU-933906,1752.08,739.86,11.86,True,2020-08-22,57.77
PROD-D63EAE68,QuickFit Laptops Model-561,CAT-002,Electronics,Laptops,Styleco,SKU-989101,805.03,288.65,19.68,True,2023-02-07,64.14
PROD-A0CFD68A,TechPro Non-Fiction Model-167,CAT-014,Books,Non-Fiction,Natureco,SKU-354343,827.37,551.44,5.12,True,2020-06-20,33.35
PROD-51BA1C3E,GadgetHub Parts Model-152,CAT-020,Automotive,Parts,Styleco,SKU-802919,33.22,15.78,8.7,True,2020-09-11,52.5
PROD-5595989F,GadgetHub Fiction Model-560,CAT-013,Books,Fiction,Kidsworld,SKU-729755,343.61,188.15,16.05,True,2022-11-30,45.24
PROD-F15937B0,HomePlus Kitchen Model-778,CAT-009,Home & Garden,Kitchen,Homeplus,SKU-380154,189.76,100.9,13.72,True,2020-01-11,46.83
PROD-9AECB7E6,StyleCo Organic Model-814,CAT-019,Food,Organic,Styleco,SKU-874962,1757.68,1037.91,7.58,True,2018-05-11,40.95
PROD-B10A2766,SportZen Smartphones Model-688,CAT-001,Electronics,Smartphones,Gadgethub,SKU-930532,1470.37,852.22,2.98,True,2018-03-30,42.04
PROD-D06264A2,StyleCo Decor Model-590,CAT-010,Home & Garden,Decor,Trendset,SKU-882478,1358.93,595.9,17.84,True,2024-05-02,56.15
PROD-A84415F4,KidsWorld Accessories Model-402,CAT-004,Electronics,Accessories,Quickfit,SKU-307825,533.53,323.28,15.45,False,2023-03-19,39.41
PROD-5A63DBC7,StyleCo Kitchen Model-861,CAT-009,Home & Garden,Kitchen,Luxbrand,SKU-445766,1862.02,1042.36,8.41,True,2020-04-01,44.02
PROD-B1BA3ECD,QuickFit Fiction Model-709,CAT-013,Books,Fiction,Natureco,SKU-301000,363.8,246.01,3.79,False,2021-05-18,32.38
PROD-650F4B0B,TrendSet Non-Fiction Model-294,CAT-014,Books,Non-Fiction,Kidsworld,SKU-543483,742.5,294.49,16.67,True,2024-03-20,60.34
PROD-A6FBA097,TrendSet Non-Fiction Model-618,CAT-014,Books,Non-Fiction,Luxbrand,SKU-338197,1141.45,464.19,6.32,True,2021-09-26,59.33
PROD-E480A9A6,StyleCo Men's Wear Model-411,CAT-005,Clothing,Men's Wear,Homeplus,SKU-695527,485.25,226.31,1.67,True,2018-08-21,53.36
PROD-ED23085A,ValuePick Fiction Model-292,CAT-013,Books,Fiction,Homeplus,SKU-381216,1026.2,414.8,23.05,True,2023-10-31,59.58
PROD-D42E8472,LuxBrand Accessories Model-624,CAT-004,Electronics,Accessories,Natureco,SKU-563900,1221.07,564.62,4.3,False,2018-02-21,53.76
PROD-BCCD285B,SportZen Makeup Model-231,CAT-016,Beauty,Makeup,Luxbrand,SKU-118329,220.88,115.39,14.12,False,2018-12-19,47.76
PROD-84FE3CC3,GadgetHub Furniture Model-672,CAT-008,Home & Garden,Furniture,Readmore,SKU-735133,885.4,507.99,12.38,True,2024-03-31,42.63
PROD-4D9D3666,GlowUp Makeup Model-518,CAT-016,Beauty,Makeup,Ecolife,SKU-602359,934.27,356.86,18.85,True,2021-05-21,61.8
PROD-D86B458C,LuxBrand Action Figures Model-136,CAT-018,Toys,Action Figures,Luxbrand,SKU-784988,752.02,365.62,20.0,False,2018-06-01,51.38
PROD-323C941A,TrendSet Decor Model-445,CAT-010,Home & Garden,Decor,Gadgethub,SKU-350920,1277.37,802.51,15.94,True,2023-08-21,37.17
PROD-866BF79A,TechPro Laptops Model-938,CAT-002,Electronics,Laptops,Autoparts,SKU-845888,223.74,123.33,4.87,True,2023-11-28,44.88
PROD-385E0298,QuickFit Skincare Model-715,CAT-015,Beauty,Skincare,Kidsworld,SKU-443977,1501.16,668.17,22.42,True,2020-06-08,55.49
PROD-D81C3728,AutoParts Women's Wear Model-991,CAT-006,Clothing,Women's Wear,Luxbrand,SKU-209920,1445.31,850.97,16.23,True,2021-06-25,41.12
PROD-6AE8B11E,GadgetHub Tablets Model-712,CAT-003,Electronics,Tablets,Luxbrand,SKU-455960,867.92,417.6,13.04,True,2020-05-10,51.88
PROD-CCBDB80C,AutoParts Men's Wear Model-953,CAT-005,Clothing,Men's Wear,Glowup,SKU-352808,1395.2,703.51,23.77,False,2018-09-30,49.58
PROD-9032E43D,HomePlus Decor Model-934,CAT-010,Home & Garden,Decor,Autoparts,SKU-670100,338.58,174.45,19.83,True,2021-01-14,48.48
PROD-26C77702,GadgetHub Makeup Model-538,CAT-016,Beauty,Makeup,Techpro,SKU-351735,514.2,316.8,2.66,True,2018-04-26,38.39
PROD-5139BAC5,QuickFit Educational Model-173,CAT-017,Toys,Educational,Valuepick,SKU-608598,1548.57,1016.48,23.76,False,2018-09-24,34.36
PROD-794B3EF1,TechPro Educational Model-767,CAT-017,Toys,Educational,Gadgethub,SKU-814643,1104.37,739.05,12.16,True,2018-10-29,33.08
PROD-9E7CFB36,NatureCo Parts Model-591,CAT-020,Automotive,Parts,Techpro,SKU-380669,204.39,120.82,24.1,False,2023-01-07,40.89
PROD-34E64CDD,HomePlus Action Figures Model-313,CAT-018,Toys,Action Figures,Gadgethub,SKU-156208,1940.85,1271.55,4.89,True,2023-03-16,34.48
PROD-75660C37,ValuePick Furniture Model-279,CAT-008,Home & Garden,Furniture,Natureco,SKU-355341,1099.85,746.3,6.18,True,2019-05-22,32.15
PROD-E08F7B34,EcoLife Skincare Model-747,CAT-015,Beauty,Skincare,Gadgethub,SKU-141374,1764.68,652.99,22.32,False,2022-01-11,63.0
PROD-34353985,KidsWorld Kids Model-781,CAT-007,Clothing,Kids,Ecolife,SKU-811557,1521.91,1035.74,4.9,True,2020-12-17,31.94
PROD-C6C6600F,GadgetHub Laptops Model-680,CAT-002,Electronics,Laptops,Sportzen,SKU-129176,642.33,422.74,6.22,True,2024-05-26,34.19
PROD-BEA329E8,ReadMore Laptops Model-156,CAT-002,Electronics,Laptops,Sportzen,SKU-204749,1474.55,531.32,5.81,True,2022-06-07,63.97
PROD-72F4CD1A,GadgetHub Kids Model-471,CAT-007,Clothing,Kids,Kidsworld,SKU-444594,950.0,599.63,10.02,True,2022-07-29,36.88
PROD-B86EDD66,TrendSet Educational Model-161,CAT-017,Toys,Educational,Glowup,SKU-272203,1401.91,691.89,6.48,False,2023-03-06,50.65
PROD-A92A6652,HomePlus Outdoor Model-748,CAT-011,Sports,Outdoor,Valuepick,SKU-523678,186.21,68.14,10.97,True,2021-08-15,63.41
PROD-E61FEBF6,SportZen Outdoor Model-421,CAT-011,Sports,Outdoor,Techpro,SKU-434947,145.59,80.53,19.69,False,2018-01-08,44.69
PROD-B7A6A483,HomePlus Outdoor Model-312,CAT-011,Sports,Outdoor,Trendset,SKU-875772,1158.35,447.88,17.02,True,2021-01-13,61.33
PROD-319DADDF,KidsWorld Non-Fiction Model-102,CAT-014,Books,Non-Fiction,Readmore,SKU-470279,327.94,199.71,7.54,True,2023-02-20,39.1
PROD-23B0C382,GlowUp Non-Fiction Model-850,CAT-014,Books,Non-Fiction,Glowup,SKU-188559,1557.21,1005.55,3.49,False,2022-09-16,35.43
PROD-1951C690,TechPro Kids Model-300,CAT-007,Clothing,Kids,Glowup,SKU-967033,1741.49,919.42,23.47,True,2024-03-18,47.2
PROD-06072383,LuxBrand Women's Wear Model-824,CAT-006,Clothing,Women's Wear,Autoparts,SKU-780026,1253.99,637.9,10.51,True,2018-12-10,49.13
PROD-36B94C27,SportZen Furniture Model-671,CAT-008,Home & Garden,Furniture,Styleco,SKU-542057,192.24,119.03,21.57,True,2021-01-10,38.08
PROD-48B1342E,AutoParts Furniture Model-181,CAT-008,Home & Garden,Furniture,Styleco,SKU-532478,941.85,473.08,21.96,True,2020-08-06,49.77
PROD-405958F4,TechPro Men's Wear Model-519,CAT-005,Clothing,Men's Wear,Kidsworld,SKU-563634,343.95,174.31,23.05,True,2020-04-13,49.32
PROD-8540C9A6,TechPro Parts Model-931,CAT-020,Automotive,Parts,Luxbrand,SKU-612513,545.14,235.51,12.66,True,2022-06-19,56.8
PROD-4ACF1AA2,GadgetHub Organic Model-834,CAT-019,Food,Organic,Sportzen,SKU-672055,394.69,163.68,20.53,True,2022-04-23,58.53
PROD-BD3F5057,SportZen Educational Model-349,CAT-017,Toys,Educational,Gadgethub,SKU-706279,909.42,473.68,17.52,True,2023-07-12,47.91
PROD-DF3FE718,EcoLife Kids Model-636,CAT-007,Clothing,Kids,Gadgethub,SKU-515734,1747.88,881.76,10.17,True,2024-02-21,49.55
PROD-63AA3D47,NatureCo Educational Model-142,CAT-017,Toys,Educational,Homeplus,SKU-940192,412.33,212.91,21.56,False,2021-03-20,48.36
PROD-0833D3B6,GadgetHub Action Figures Model-131,CAT-018,Toys,Action Figures,Natureco,SKU-359657,24.28,12.03,7.99,True,2021-03-20,50.45
PROD-E0092F88,SportZen Kitchen Model-777,CAT-009,Home & Garden,Kitchen,Homeplus,SKU-557482,1439.66,698.42,5.52,True,2018-09-20,51.49
PROD-0A2ABA22,StyleCo Furniture Model-684,CAT-008,Home & Garden,Furniture,Styleco,SKU-770093,1974.04,1042.69,4.19,False,2021-07-29,47.18
PROD-E3AB59B9,AutoParts Skincare Model-788,CAT-015,Beauty,Skincare,Quickfit,SKU-857378,709.94,333.96,6.0,False,2022-07-16,52.96
PROD-E98DE2FC,ReadMore Parts Model-993,CAT-020,Automotive,Parts,Autoparts,SKU-693563,1756.22,1096.0,19.68,True,2022-08-27,37.59
PROD-D03F8B4B,EcoLife Non-Fiction Model-688,CAT-014,Books,Non-Fiction,Quickfit,SKU-492623,1179.24,641.54,15.41,True,2019-03-06,45.6
PROD-5F517E0F,GadgetHub Accessories Model-972,CAT-004,Electronics,Accessories,Natureco,SKU-685913,252.83,112.42,18.65,True,2019-04-29,55.54
PROD-E8DF0AF9,EcoLife Organic Model-646,CAT-019,Food,Organic,Gadgethub,SKU-314999,82.99,44.32,1.75,True,2018-01-14,46.6
PROD-0C5EC37D,LuxBrand Laptops Model-875,CAT-002,Electronics,Laptops,Valuepick,SKU-626838,1771.63,923.24,20.71,True,2020-05-19,47.89
PROD-94CC2D3E,ReadMore Laptops Model-389,CAT-002,Electronics,Laptops,Techpro,SKU-668948,1188.33,580.04,20.48,True,2022-03-12,51.19
PROD-63DA1C3C,GlowUp Women's Wear Model-206,CAT-006,Clothing,Women's Wear,Natureco,SKU-824604,1420.39,848.91,18.46,True,2021-09-07,40.23
PROD-38FBB31B,AutoParts Makeup Model-498,CAT-016,Beauty,Makeup,Styleco,SKU-273391,1199.64,453.85,7.82,False,2023-10-26,62.17
PROD-89A4D7DE,AutoParts Men's Wear Model-700,CAT-005,Clothing,Men's Wear,Sportzen,SKU-278683,1199.29,505.18,22.08,True,2022-04-19,57.88
PROD-889E98A7,SportZen Men's Wear Model-919,CAT-005,Clothing,Men's Wear,Kidsworld,SKU-785800,1088.37,496.96,12.98,True,2023-06-05,54.34
PROD-8B7AE5AC,GlowUp Kids Model-523,CAT-007,Clothing,Kids,Homeplus,SKU-622398,827.35,322.52,23.03,True,2018-08-08,61.02
PROD-9D96D695,TechPro Men's Wear Model-351,CAT-005,Clothing,Men's Wear,Techpro,SKU-167702,457.7,204.35,19.92,True,2018-02-26,55.35
PROD-9597A4AF,ValuePick Skincare Model-809,CAT-015,Beauty,Skincare,Kidsworld,SKU-691882,1276.41,530.95,18.57,False,2018-07-28,58.4
PROD-2464671E,LuxBrand Outdoor Model-597,CAT-011,Sports,Outdoor,Gadgethub,SKU-419159,1218.95,463.15,10.51,False,2023-03-23,62.0
PROD-64057272,ReadMore Organic Model-668,CAT-019,Food,Organic,Valuepick,SKU-535688,1572.76,717.75,5.08,True,2020-01-12,54.36
PROD-83010660,ReadMore Kitchen Model-976,CAT-009,Home & Garden,Kitchen,Natureco,SKU-890395,408.02,262.57,18.32,True,2021-06-18,35.65
PROD-C72A2A20,HomePlus Action Figures Model-872,CAT-018,Toys,Action Figures,Kidsworld,SKU-906526,599.2,362.73,20.19,True,2019-04-14,39.46
PROD-0AD471E3,ReadMore Makeup Model-345,CAT-016,Beauty,Makeup,Natureco,SKU-363484,376.99,140.34,10.99,True,2024-02-01,62.77
PROD-18E7ED70,AutoParts Educational Model-502,CAT-017,Toys,Educational,Sportzen,SKU-295409,35.82,24.06,15.34,True,2019-10-11,32.83
PROD-31423B5C,ReadMore Skincare Model-401,CAT-015,Beauty,Skincare,Trendset,SKU-356106,387.57,244.07,4.67,True,2022-06-09,37.03
PROD-182A8FB2,NatureCo Fiction Model-102,CAT-013,Books,Fiction,Natureco,SKU-638291,491.16,260.66,10.28,True,2018-05-10,46.93
PROD-68F0ED1B,ReadMore Women's Wear Model-751,CAT-006,Clothing,Women's Wear,Valuepick,SKU-243431,139.7,84.21,20.07,True,2020-06-04,39.72
PROD-81B88A8B,HomePlus Educational Model-526,CAT-017,Toys,Educational,Homeplus,SKU-870333,1732.77,966.52,9.38,True,2020-06-27,44.22
PROD-CD6710E8,EcoLife Tablets Model-341,CAT-003,Electronics,Tablets,Readmore,SKU-549355,253.51,174.81,14.27,True,2021-03-15,31.04
PROD-F6CD5521,LuxBrand Parts Model-661,CAT-020,Automotive,Parts,Trendset,SKU-295513,693.45,303.63,9.59,True,2023-11-16,56.21
PROD-E2060AE2,GlowUp Laptops Model-227,CAT-002,Electronics,Laptops,Gadgethub,SKU-880760,1867.84,1073.64,22.65,True,2020-09-12,42.52
PROD-2C29F0B7,NatureCo Kids Model-509,CAT-007,Clothing,Kids,Luxbrand,SKU-785796,960.87,559.54,6.45,True,2023-02-14,41.77
PROD-8CDC0B0A,HomePlus Women's Wear Model-320,CAT-006,Clothing,Women's Wear,Quickfit,SKU-330393,1787.83,940.86,9.61,True,2020-03-02,47.37
PROD-F525D196,GlowUp Outdoor Model-601,CAT-011,Sports,Outdoor,Autoparts,SKU-550361,544.8,269.38,2.13,True,2024-02-27,50.55
PROD-CA10A062,TrendSet Educational Model-661,CAT-017,Toys,Educational,Homeplus,SKU-320755,123.48,55.1,19.4,False,2019-09-26,55.38
PROD-79148E04,NatureCo Fiction Model-447,CAT-013,Books,Fiction,Homeplus,SKU-530818,481.8,326.35,9.53,False,2020-05-09,32.26
PROD-DFECEA9E,GadgetHub Fitness Model-621,CAT-012,Sports,Fitness,Valuepick,SKU-111132,937.35,545.07,6.51,True,2020-03-28,41.85
PROD-45BBEB5E,ValuePick Accessories Model-642,CAT-004,Electronics,Accessories,Readmore,SKU-986847,308.33,131.91,11.98,False,2019-06-20,57.22
PROD-8E9A73D9,QuickFit Kids Model-491,CAT-007,Clothing,Kids,Kidsworld,SKU-729709,786.2,317.37,24.23,True,2020-02-04,59.63
PROD-EBAC9754,ReadMore Outdoor Model-726,CAT-011,Sports,Outdoor,Kidsworld,SKU-573113,787.87,491.2,11.55,False,2023-06-20,37.65
PROD-2B3FA0E2,QuickFit Furniture Model-589,CAT-008,Home & Garden,Furniture,Autoparts,SKU-249448,915.73,533.84,24.13,False,2018-09-30,41.7
PROD-6CD7B276,TechPro Tablets Model-581,CAT-003,Electronics,Tablets,Trendset,SKU-317932,1263.04,585.94,22.05,True,2023-10-05,53.61
PROD-9C06322E,ValuePick Kitchen Model-210,CAT-009,Home & Garden,Kitchen,Trendset,SKU-275813,1763.67,910.84,5.6,True,2022-07-02,48.36
PROD-880C5A3B,GlowUp Non-Fiction Model-305,CAT-014,Books,Non-Fiction,Gadgethub,SKU-499829,225.79,80.34,13.25,True,2023-12-24,64.42
PROD-A1B65234,TechPro Kids Model-302,CAT-007,Clothing,Kids,Techpro,SKU-859731,89.07,61.55,24.24,False,2020-09-25,30.9
PROD-91F97F5A,TrendSet Laptops Model-783,CAT-002,Electronics,Laptops,Natureco,SKU-754629,1240.1,833.87,20.46,True,2020-06-28,32.76
PROD-305625F6,GlowUp Makeup Model-708,CAT-016,Beauty,Makeup,Techpro,SKU-391389,770.51,440.93,5.1,True,2019-02-16,42.77
PROD-E633DA15,AutoParts Smartphones Model-603,CAT-001,Electronics,Smartphones,Sportzen,SKU-196461,931.12,471.0,19.89,True,2019-03-23,49.42
PROD-36F2E05B,ReadMore Men's Wear Model-780,CAT-005,Clothing,Men's Wear,Sportzen,SKU-642100,536.19,288.6,1.86,True,2023-12-03,46.18
PROD-D00D12ED,SportZen Action Figures Model-441,CAT-018,Toys,Action Figures,Gadgethub,SKU-423289,374.56,166.43,4.61,True,2023-10-29,55.57
PROD-0F3643CF,ReadMore Parts Model-592,CAT-020,Automotive,Parts,Techpro,SKU-755190,630.55,434.02,22.35,True,2022-07-02,31.17
PROD-E1B85E7E,QuickFit Non-Fiction Model-716,CAT-014,Books,Non-Fiction,Natureco,SKU-308679,1261.46,600.22,9.62,True,2020-12-07,52.42
PROD-A1B3174A,GadgetHub Decor Model-601,CAT-010,Home & Garden,Decor,Techpro,SKU-398175,1010.23,588.42,2.43,False,2024-03-28,41.75
PROD-30886F93,ValuePick Skincare Model-642,CAT-015,Beauty,Skincare,Natureco,SKU-195452,1092.82,528.29,7.6,True,2020-09-11,51.66
PROD-B5B1FC45,AutoParts Parts Model-556,CAT-020,Automotive,Parts,Luxbrand,SKU-276910,904.54,628.03,16.01,True,2019-11-03,30.57
PROD-FD2F6F8B,ValuePick Smartphones Model-765,CAT-001,Electronics,Smartphones,Sportzen,SKU-789642,1825.34,1164.49,22.73,True,2020-04-13,36.2
PROD-38C59803,SportZen Decor Model-583,CAT-010,Home & Garden,Decor,Trendset,SKU-935535,1941.33,1201.47,19.1,True,2023-07-07,38.11
PROD-2B59CA40,QuickFit Accessories Model-468,CAT-004,Electronics,Accessories,Kidsworld,SKU-986333,1931.63,1225.65,2.92,True,2018-10-03,36.55
PROD-F69514E4,ValuePick Laptops Model-603,CAT-002,Electronics,Laptops,Homeplus,SKU-628382,1612.23,1036.9,14.84,True,2018-01-04,35.69
PROD-A97FA7F2,ValuePick Action Figures Model-489,CAT-018,Toys,Action Figures,Sportzen,SKU-603673,253.38,154.84,22.4,False,2019-07-26,38.89
PROD-105A0516,AutoParts Makeup Model-448,CAT-016,Beauty,Makeup,Trendset,SKU-183307,407.12,258.22,16.45,False,2018-08-30,36.57
PROD-A7EDC3A6,LuxBrand Smartphones Model-305,CAT-001,Electronics,Smartphones,Valuepick,SKU-937586,1884.98,743.89,12.9,True,2022-02-01,60.54
PROD-376BDBCA,LuxBrand Action Figures Model-470,CAT-018,Toys,Action Figures,Luxbrand,SKU-615201,1463.78,911.33,0.51,True,2019-05-09,37.74
PROD-183C791B,QuickFit Accessories Model-122,CAT-004,Electronics,Accessories,Sportzen,SKU-754196,544.62,295.45,21.65,True,2024-04-11,45.75
PROD-AE530D2E,QuickFit Women's Wear Model-941,CAT-006,Clothing,Women's Wear,Luxbrand,SKU-247286,496.54,203.85,5.32,True,2023-12-03,58.95
PROD-165B9260,HomePlus Skincare Model-211,CAT-015,Beauty,Skincare,Autoparts,SKU-260149,1547.98,826.88,9.1,True,2024-04-07,46.58
PROD-D6F7EBC0,SportZen Laptops Model-522,CAT-002,Electronics,Laptops,Homeplus,SKU-551765,193.53,135.02,1.86,False,2018-09-13,30.23
PROD-8906A99A,KidsWorld Furniture Model-712,CAT-008,Home & Garden,Furniture,Kidsworld,SKU-258348,1881.75,794.27,14.24,True,2018-01-25,57.79
PROD-E7EED61A,AutoParts Outdoor Model-856,CAT-011,Sports,Outdoor,Natureco,SKU-371075,1119.62,740.82,1.36,False,2023-11-19,33.83
PROD-C1559F59,QuickFit Kitchen Model-549,CAT-009,Home & Garden,Kitchen,Sportzen,SKU-519426,1225.44,721.49,21.5,True,2020-10-11,41.12
PROD-1C2E5ADD,KidsWorld Smartphones Model-908,CAT-001,Electronics,Smartphones,Kidsworld,SKU-182581,1294.24,474.15,0.28,True,2024-03-27,63.36
PROD-A99B0544,StyleCo Non-Fiction Model-636,CAT-014,Books,Non-Fiction,Glowup,SKU-222367,725.62,326.13,23.97,True,2020-02-14,55.05
PROD-5E354642,AutoParts Fiction Model-478,CAT-013,Books,Fiction,Readmore,SKU-251491,1657.94,827.17,21.28,True,2019-05-31,50.11
PROD-DB2D1A8F,TechPro Furniture Model-875,CAT-008,Home & Garden,Furniture,Quickfit,SKU-791979,598.47,354.83,18.01,True,2022-09-12,40.71
